Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Softball vs  Army,2/17/18,10:00 AM,2/17/18,1:00 PM,"Cathedral City, CA",Softball,"Softball vs  Army Cathedral City, CA"
Baseball vs  Nebraska,2/17/18,3:00 PM,2/17/18,6:00 PM,"Tempe, AZ",Baseball,"Baseball vs  Nebraska Tempe, AZ"
Men's Basketball vs  Hawai'i,2/17/18,7:30 PM,2/17/18,10:30 PM,,Men's Basketball,Men's Basketball vs  Hawai'i 
Softball vs  Stanford,2/18/18,9:30 AM,2/18/18,12:30 PM,"Cathedral City, CA",Softball,"Softball vs  Stanford Cathedral City, CA"
Softball vs  Grand Canyon,2/18/18,12:00 PM,2/18/18,3:00 PM,"Cathedral City, CA",Softball,"Softball vs  Grand Canyon Cathedral City, CA"
Baseball vs  Washington State,2/18/18,3:00 PM,2/18/18,6:00 PM,"Tempe, AZ",Baseball,"Baseball vs  Washington State Tempe, AZ"
Softball vs  Sacramento State,2/19/18,9:00 AM,2/19/18,12:00 PM,"Cathedral City, CA",Softball,"Softball vs  Sacramento State Cathedral City, CA"
Softball vs  California,2/19/18,1:30 PM,2/19/18,4:30 PM,"Cathedral City, CA",Softball,"Softball vs  California Cathedral City, CA"
Men's Basketball vs  Cal State Fullerton,2/21/18,7:00 PM,2/21/18,10:00 PM,,Men's Basketball,Men's Basketball vs  Cal State Fullerton 
Women's Tennis vs  Nevada,2/22/18,1:30PM,2/22/18,4:30 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  Nevada Riverside, CA"
Women's Basketball at  Cal State Fullerton,2/22/18,7:00 PM,2/22/18,10:00 PM,"Fullerton, CA",Women's Basketball,"Women's Basketball at  Cal State Fullerton Fullerton, CA"
Softball vs  New Mexico,2/23/18,2:00 PM,2/23/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  New Mexico Riverside, CA"
Women's Track and Field  MPSF Indoor Championship,2/23/18,4:00 PM,2/23/18,11:59 PM,"Seattle, WA",Women's Track and Field,"Women's Track and Field  MPSF Indoor Championship Seattle, WA"
Men's Track and Field  MPSF Indoor Championship,2/23/18,4:00 PM,2/23/18,11:59 PM,"Seattle, WA",Men's Track and Field,"Men's Track and Field  MPSF Indoor Championship Seattle, WA"
Baseball at  Washington,2/23/18,6:05 PM,2/23/18,9:05 PM,"Seattle, WA",Baseball,"Baseball at  Washington Seattle, WA"
Baseball at  Washington,2/24/18,1:05 PM,2/24/18,4:05 PM,"Seattle, WA",Baseball,"Baseball at  Washington Seattle, WA"
Women's Tennis at  UC Santa Barbara,2/24/18,2PM,2/24/18,5:00 PM,"Santa Barbara, CA",Women's Tennis,"Women's Tennis at  UC Santa Barbara Santa Barbara, CA"
Softball vs  George Washington,2/24/18,2:00 PM,2/24/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  George Washington Riverside, CA"
Men's Tennis vs  Richmond,2/24/18,3:00 PM,2/24/18,6:00 PM,"Colorado Springs, CO",Men's Tennis,"Men's Tennis vs  Richmond Colorado Springs, CO"
Women's Basketball at  UC Santa Barbara,2/24/18,4:00 PM,2/24/18,7:00 PM,"Santa Barbara, CA",Women's Basketball,"Women's Basketball at  UC Santa Barbara Santa Barbara, CA"
Baseball at  Washington,2/24/18,4:35 PM,2/24/18,7:35 PM,"Seattle, WA",Baseball,"Baseball at  Washington Seattle, WA"
Men's Basketball at  UC Davis,2/24/18,5:00 PM,2/24/18,8:00 PM,"Davis, CA",Men's Basketball,"Men's Basketball at  UC Davis Davis, CA"
Softball vs  Montana,2/25/18,11:30 AM,2/25/18,2:30 PM,"Riverside, CA",Softball,"Softball vs  Montana Riverside, CA"
